Code,Name,Date Updated,Notes
00000,Species unknown,02/06/08,NA
00010,Struthio camelus,02/06/08,
00020,Gavia stellata,02/06/08,
00021,Gavia stellata stellata,20/07/09,
00022,Gavia stellata squamata,20/07/09,
00030,Gavia arctica,02/06/08,
00031,Gavia arctica arctica,20/07/09,
00032,Gavia arctica viridigularis,20/07/09,
00033,Gavia arctica pacifica,20/07/09,Gavia pacifica
00040,Gavia immer,02/06/08,
00050,Gavia adamsii,02/06/08,
00059,Gavia sp.,02/06/08,
00060,Podilymbus podiceps,02/06/08,
00070,Tachybaptus ruficollis,02/06/08,
00080,Tachybaptus dominicus,02/06/08,
00090,Podiceps cristatus,02/06/08,
00100,Podiceps grisegena,02/06/08,
00110,Podiceps auritus,02/06/08,
00120,Podiceps nigricollis,02/06/08,
00129,Podiceps sp.,02/06/08,
00130,Aechmophorus occidentalis,02/06/08,
00140,Diomedea melanophris,02/06/08,
00150,Diomedea chlororhynchos,02/06/08,
00160,Diomedea cauta,02/06/08,
00170,Diomedea nigripes,02/06/08,
00180,Diomedea immutabilis,02/06/08,
00190,Diomedea albatrus,02/06/08,
00200,Diomedea exulans,02/06/08,
00210,Macronectes giganteus,02/06/08,
00220,Fulmarus glacialis,02/06/08,
00221,Fulmarus glacialis glacialis,02/06/08,
00230,Daption capense,02/06/08,
00240,Pterodroma arminjoniana,02/06/08,
00250,Pterodroma neglecta,02/06/08,
00260,Pterodroma mollis/feae/madeira,30/01/12,Soft-plumaged Petrel species
00261,Pterodroma mollis,30/01/12,Soft-plumaged petrel. Formerly P.m. mollis
00262,Pterodroma feae,30/01/12,Feas Petrel. Formerly P. m. feae
00263,Pterodroma madeira,30/01/12,Zinos Petrel. Formerly P. m. madeira
00270,Pterodroma inexpectata,02/06/08,
00280,Pterodroma solandri,02/06/08,
00290,Pterodroma hasitata,02/06/08,
00300,Pterodroma hypoleuca,02/06/08,
00310,Pterodroma cookii,02/06/08,
00320,Pterodroma longirostris,02/06/08,
00330,Pterodroma leucoptera,02/06/08,
00340,Bulweria bulwerii,02/06/08,
00350,Bulweria fallax,02/06/08,
00360,Calonectris diomedea,02/06/08,
00362,Calonectris edwardsii,19/03/12,Cape Verde Shearwater
00370,Calonectris leucomelas,02/06/08,
00380,Puffinus carneipes,02/06/08,
00390,Puffinus creatopus,02/06/08,
00400,Puffinus gravis,02/06/08,
00410,Puffinus pacificus,02/06/08,
00420,Puffinus bulleri,02/06/08,
00430,Puffinus griseus,02/06/08,
00440,Puffinus tenuirostris,02/06/08,
00450,Puffinus nativitatis,02/06/08,
00460,Puffinus puffinus,02/06/08,
00461,Puffinus puffinus puffinus,02/06/08,
00462,Puffinus puffinus yelkouan,02/06/08,
00463,Puffinus puffinus mauretanicus,02/06/08,
00470,Puffinus auricularis,02/06/08,
00480,Puffinus assimilis,02/06/08,
00481,Puffinus assimilis assimilis,02/06/08,
00482,Puffinus assimilis baroli,02/06/08,
00483,Puffinus assimilis boydi,02/06/08,
00484,Puffinus assimilis persicus,02/06/08,
00485,Puffinus assimilis bannermani,02/06/08,
00490,Puffinus lherminieri,02/06/08,
00491,Puffinus bailloni,07/07/14,Tropical shearwater
00499,Puffinus sp.,02/06/08,
00500,Oceanites oceanicus,02/06/08,
00510,Pelagodroma marina,02/06/08,
00520,Hydrobates pelagicus,02/06/08,
00521,Hydrobates pelagicus pelagicus,02/06/08,
00522,Hydrobates pelagicus melitensis,02/06/08,
00530,Halocyptena microsoma,02/06/08,
00540,Oceanodroma furcata,02/06/08,
00550,Oceanodroma leucorhoa,02/06/08,
00560,Oceanodroma monorhis,02/06/08,
00570,Oceanodroma homochroa,02/06/08,
00580,Oceanodroma castro,02/06/08,
00581,Oceanodroma monteiroi,19/03/12,Monteiros Storm Petrel
00590,Oceanodroma tethys,02/06/08,
00600,Oceanodroma melania,02/06/08,
00610,Oceanodroma matsudairae,02/06/08,
00620,Oceanodroma macrodactyla,02/06/08,
00630,Oceanodroma tristrami,02/06/08,
00639,Oceanodroma sp.,02/06/08,
