fieldnames, expected.field.type
master.id, character
survey.id, character
Year, numeric
Month, numeric
Day, numeric
Hour, numeric
Minute, numeric
Second, numeric
Transect.ID, numeric
Image.ID, character
Object.Name, character
Object.ID, numeric
Object.ID.Confidence, character
No.individuals, numeric
Latitude, numeric
Longitude, numeric
Object.height.estimate, numeric
Object.height.min, numeric
Object.height.max, numeric
height.method, numeric
Object.heading, numeric
On.sea, character
In.flight, character
Behaviour, numeric
Surfacing, numeric
in.snapshot, character
body.length, numeric
wing.span, numeric
animal.age, character
animal.sex, character
plumage, character
association, character
association.note, character
Distance.from.trackline, numeric
notes, character       
