fieldnames,expected.field.type
master.id, character
survey.id, character
Survey.target, character
Survey.type, character
Altitude, numeric
Geodetic.ref.system, character
Image.width, numeric
strip.width, numeric
Image.resolution, numeric
study.area, numeric
observed.area, numeric
Year.start, numeric
Month.start, numeric
Day.start, numeric
Year.end, numeric
Month.end, numeric
Day.end, numeric
Hour.start, numeric
Minute.start, numeric
Second.start, numeric
Hour.end, numeric
Minute.end, numeric
Second.end, numeric
Snapshot.window.length, numeric
Snapshot.window.width, numeric
Snapshot.interval, numeric
Snapshot.frequency, numeric
No.sides, numeric
No.observers, numeric
No.cameras, numeric
Notes, character
